               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092429,             0.02296,                   0,            0.020396,                   1,            0.028841,           0.0036864,            0.039399,            0.025155,                   0,           0.0032975,           0.0032975,            0.070323
                   1,            0.086272,            0.022916,                   0,            0.025643,                   1,            0.073704,            0.018577,            0.041386,            0.024141,                   0,           0.0065652,           0.0065652,            0.040257
                   2,            0.084291,            0.023876,                   0,            0.013376,                   1,            0.013446,           0.0013446,            0.078273,            0.013101,                   0,           0.0097669,           0.0097669,            0.010125
                   3,            0.077283,            0.025174,                   0,           0.0070648,                   1,           0.0073704,          0.00073704,            0.081981,           0.0061821,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.07165,             0.02598,                   0,             0.66428,                   1,             0.82833,             0.21542,            0.031212,            0.019783,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.066639,            0.026345,                   0,             0.99882,                   1,               0.995,             0.12434,            0.033692,            0.022035,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.062284,            0.025281,                   0,             0.39259,                   1,              0.4475,             0.09442,             0.03332,            0.018956,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.059276,            0.024149,                   0,             0.49914,                   1,              0.4975,            0.074585,            0.034702,            0.019305,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.056947,            0.024053,                   0,              0.6661,                   1,             0.66333,             0.33167,            0.031459,            0.015955,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.054807,            0.022775,                   0,             0.49942,             0.99825,              0.4975,             0.21157,            0.024514,            0.019478,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052794,            0.021794,                   0,             0.49814,             0.99443,              0.4975,             0.13268,            0.030371,            0.015447,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.052064,             0.02132,                   0,             0.66623,                   1,             0.66333,             0.29017,            0.029223,            0.014934,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.050531,            0.021106,                   0,             0.28267,                   1,             0.28429,            0.071229,            0.038653,            0.020748,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.049481,            0.020651,                   0,             0.49842,                   1,              0.4975,             0.24887,            0.023172,            0.021355,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.048578,            0.020783,                   0,            0.078813,                   1,             0.08125,             0.03057,            0.047244,              0.0218,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047881,            0.020075,                   0,             0.66664,                   1,             0.82833,             0.26533,            0.024604,            0.016423,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.046382,            0.020188,                   0,             0.66645,                   1,             0.82833,             0.39735,            0.023799,            0.015568,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04618,            0.019634,                   0,             0.66644,                   1,             0.82833,             0.56302,            0.025331,            0.014301,                   0,            0.008416,            0.008416,            0.008416
